Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
58903,MARSEILLES LOCK AND DAM HYDRO,CONVENTIONAL HYDROELECTRIC,0,0,0,250 MAIN STREET,MARSEILLES,IL,61341,USA,41.32649309,-88.71457875,HYDRO,HYDRO,HYDRO
58904,FOURMILE RIDGE,ONSHORE WIND TURBINE,0,0,0,853 ST JOHN'S ROCK RD.,FROSTBURG,MD,21532,USA,39.63943348,-79.00846266,WIND,WIND,WIND
58908,BEEBE 1B,ONSHORE WIND TURBINE,0,0,0,5176 E PIERCE RD,ITHACA,MI,48847,USA,43.25248965,-84.496524,WIND,WIND,WIND
58917,TIOGA SOLAR MORRIS COUNTY 1 LLC,SOLAR PHOTOVOLTAIC,0,0,0,161 EAST HANNOVER AVE,MORRISTOWN,NJ,7960,USA,40.815278,-74.475833,SOLAR,SOLAR,SOLAR
58921,NAPOLEON BIOGAS,OTHER WASTE BIOMASS,0,0,0,12329 COUNTY ROAD P-3,NAPOLEON,OH,43545,USA,41.39152739,-84.10133418,MSW,MSW,MSW
58923,MISSOURI S&T - POWER PLANT,CONVENTIONAL STEAM COAL; PETROLEUM LIQUIDS,0,0,0,1300 NORTH STATE STREET,ROLLA,MO,65409,USA,37.953889,-91.774444,COAL,COAL,FOSSIL
58924,SUGAR CREEK WIND ONE LLC,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,TBD,IL,62656,USA,40.074167,-89.291944,WIND,WIND,WIND
58925,LINCOLN LAND WIND,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,TBD,IL,62677,USA,39.821944,-89.955833,WIND,WIND,WIND
58927,STORY CITY WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,55090 100TH STREET,STORY CITY,IA,50248,USA,42.20793703,-93.59902759,WIND,WIND,WIND
58929,MELROSE 2,PETROLEUM LIQUIDS,0,0,7,116 8TH AVE NE,MELROSE,MN,56352,USA,45.676389,-94.801944,PET,PET,FOSSIL
58932,TRAER WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,1937 QQ AVE,TRAER,IA,50675,USA,42.16132951,-92.44255949,WIND,WIND,WIND
58933,SHELL CHEMICAL APPALACHIA LLC,NATURAL GAS FIRED COMBINED CYCLE,0,0,0,"FRANKFORT ROAD, POTTER TOWNSHI",MONACA,PA,15061,USA,40.671667,-80.336389,GAS,GAS,FOSSIL
