City,Year,Lat,Long,Avg_Temp_Celsius
Milwaukee,2013,42.59,-87.27,11.58688889
Minneapolis,2013,45.81,-93.46,7.257444444
Miramar,2013,26.52,-80.6,24.44011111
Mobile,2013,31.35,-88.59,20.25233333
Modesto,2013,37.78,-120,15.02088889
Montgomery,2013,32.95,-87.13,18.98388889
Moreno Valley,2013,34.56,-116.76,19.86533333
Naperville,2013,40.99,-87.34,12.15344444
Nashville,2013,36.17,-87.51,16.17244444
New Haven,2013,40.99,-72.43,12.32911111
New Orleans,2013,29.74,-90.46,21.99522222
New York,2013,40.99,-74.56,12.16388889
Newark,2013,40.99,-74.56,12.16388889
Newport News,2013,37.78,-77.29,15.67722222
Nogales,2013,31.35,-111.2,19.712
Norfolk,2013,36.17,-75.58,17.288
Norman,2013,34.56,-97.3,18.73988889
North Las Vegas,2013,36.17,-115.36,20.538
Norwalk,2013,34.56,-118.7,18.12066667
Nuevo Laredo,2013,28.13,-99.09,24.10222222
Oakland,2013,37.78,-122.03,16.23366667
Oceanside,2013,32.95,-117.77,17.18077778
Oklahoma City,2013,36.17,-97.46,17.21477778
Olathe,2013,39.38,-95.72,14.10144444
Omaha,2013,40.99,-95.86,12.55877778
Ontario,2013,34.56,-116.76,19.86533333
Orange,2013,32.95,-117.77,17.18077778
Orlando,2013,28.13,-80.91,23.77077778
Overland Park,2013,39.38,-93.64,13.98966667
Oxnard,2013,34.56,-118.7,18.12066667
Palmdale,2013,34.56,-118.7,18.12066667
Paradise,2013,36.17,-115.36,20.538
Pasadena,2013,29.74,-96,22.28022222
Pasadena,2013,34.56,-118.7,18.12066667
Paterson,2013,40.99,-74.56,12.16388889
Pembroke Pines,2013,26.52,-80.6,24.44011111
Peoria,2013,32.95,-112.02,23.56455556
Peoria,2013,40.99,-89.47,12.20422222
Philadelphia,2013,39.38,-74.91,14.01366667
Phoenix,2013,32.95,-112.02,23.56455556
Pittsburgh,2013,40.99,-80.95,11.87066667
Plano,2013,32.95,-96.7,20.45077778
Pomona,2013,34.56,-118.7,18.12066667
Port Saint Lucie,2013,26.52,-80.6,24.44011111
Portland,2013,45.81,-123.46,11.73533333
Providence,2013,42.59,-72,10.37566667
Provo,2013,39.38,-112.37,11.36155556
Pueblo,2013,37.78,-103.73,13.42411111
Raleigh,2013,36.17,-79.56,16.23144444
Rancho Cucamonga,2013,34.56,-116.76,19.86533333
Reno,2013,39.38,-120.69,13.91533333
Rialto,2013,34.56,-116.76,19.86533333
Richardson,2013,32.95,-96.7,20.45077778
Richmond,2013,37.78,-122.03,16.23366667
Richmond,2013,37.78,-77.29,15.67722222
Riverside,2013,34.56,-116.76,19.86533333
Rochester,2013,42.59,-78.55,10.27944444
Rockford,2013,42.59,-89.45,10.17622222
Roseville,2013,39.38,-120.69,13.91533333
Sacramento,2013,37.78,-122.03,16.23366667
Saint Louis,2013,39.38,-89.48,13.93588889
Saint Paul,2013,45.81,-93.46,7.257444444
Saint Petersburg,2013,28.13,-82.73,23.54666667
Salem,2013,44.2,-122.98,12.03266667
Salinas,2013,36.17,-121.33,16.558
Salt Lake City,2013,40.99,-112.9,12.60022222
San Antonio,2013,29.74,-97.85,22.18266667
San Bernardino,2013,34.56,-116.76,19.86533333
San Diego,2013,32.95,-117.77,17.18077778
San Francisco,2013,37.78,-122.03,16.23366667
San Jose,2013,37.78,-122.03,16.23366667
Santa Ana,2013,32.95,-117.77,17.18077778
Santa Clara,2013,37.78,-122.03,16.23366667
Santa Clarita,2013,34.56,-118.7,18.12066667
Santa Rosa,2013,37.78,-122.03,16.23366667
Savannah,2013,31.35,-81.05,20.96911111
Scottsdale,2013,32.95,-112.02,23.56455556
Seattle,2013,47.42,-121.97,9.946444444
Shreveport,2013,32.95,-92.87,19.57322222
Simi Valley,2013,34.56,-118.7,18.12066667
Sioux Falls,2013,44.2,-96.15,8.679
South Bend,2013,40.99,-85.21,11.99433333
Spokane,2013,47.42,-117.24,10.94711111
Spring Valley,2013,36.17,-115.36,20.538
Springfield,2013,37.78,-93.56,15.06466667
Springfield,2013,39.38,-89.48,13.93588889
Springfield,2013,42.59,-72,10.37566667
Stamford,2013,40.99,-74.56,12.16388889
Sterling Heights,2013,42.59,-82.91,10.89722222
Stockton,2013,37.78,-122.03,16.23366667
Sunnyvale,2013,37.78,-122.03,16.23366667
Sunrise Manor,2013,36.17,-115.36,20.538
Syracuse,2013,42.59,-76.36,10.18011111
Tacoma,2013,47.42,-121.97,9.946444444
Tallahassee,2013,29.74,-84.92,21.76022222
Tampa,2013,28.13,-82.73,23.54666667
Tempe,2013,32.95,-112.02,23.56455556
Thornton,2013,39.38,-104.05,11.20577778
Thousand Oaks,2013,34.56,-118.7,18.12066667
Toledo,2013,40.99,-83.08,11.99366667
Toms River,2013,39.38,-74.91,14.01366667
Topeka,2013,39.38,-95.72,14.10144444
Torrance,2013,34.56,-118.7,18.12066667
Tucson,2013,31.35,-111.2,19.712
Tulsa,2013,36.17,-95.47,17.11977778
Vallejo,2013,37.78,-122.03,16.23366667
Vancouver,2013,45.81,-123.46,11.73533333
Virginia Beach,2013,36.17,-75.58,17.288
Visalia,2013,36.17,-119.34,18.67566667
Waco,2013,31.35,-98.01,20.87122222
Warren,2013,42.59,-82.91,10.89722222
Washington,2013,39.38,-76.99,14.18766667
Waterbury,2013,40.99,-72.43,12.32911111
West Covina,2013,34.56,-118.7,18.12066667
West Jordan,2013,40.99,-112.9,12.60022222
West Valley City,2013,40.99,-112.9,12.60022222
Westminster,2013,39.38,-104.05,11.20577778
Wichita,2013,37.78,-97.63,15.334
Wichita Falls,2013,34.56,-99.24,18.93255556
Windsor,2013,42.59,-82.91,10.89722222
Winston Salem,2013,36.17,-79.56,16.23144444
Worcester,2013,42.59,-72,10.37566667
Yonkers,2013,40.99,-74.56,12.16388889
