City,Year,Lat,Long,Avg_Temp_Celsius
Independence,2003,39.38,-93.64,12.55591667
Indianapolis,2003,39.38,-85.32,11.48975
Inglewood,2003,34.56,-118.7,16.94466667
Irvine,2003,32.95,-117.77,17.10016667
Irving,2003,32.95,-96.7,18.55375
Jackson,2003,32.95,-90.96,18.11766667
Jacksonville,2003,29.74,-81.23,21.6495
Jersey City,2003,40.99,-74.56,9.836
Joliet,2003,40.99,-87.34,10.25675
Kansas City,2003,39.38,-93.64,12.55591667
Killeen,2003,31.35,-98.01,19.04741667
Knoxville,2003,36.17,-83.54,13.47058333
Lafayette,2003,29.74,-92.31,20.50433333
Lakewood,2003,39.38,-104.05,10.03691667
Lancaster,2003,34.56,-118.7,16.94466667
Lansing,2003,42.59,-85.09,8.798083333
Laredo,2003,28.13,-99.09,22.09883333
Las Vegas,2003,36.17,-115.36,18.64958333
Lexington Fayette,2003,37.78,-85.42,13.34633333
Lincoln,2003,40.99,-95.86,10.89808333
Little Rock,2003,34.56,-91.46,16.79641667
Long Beach,2003,32.95,-117.77,17.10016667
Los Angeles,2003,34.56,-118.7,16.94466667
Louisville,2003,37.78,-85.42,13.34633333
Lowell,2003,42.59,-72,7.775666667
Lubbock,2003,32.95,-102.45,16.82733333
Madison,2003,42.59,-89.45,8.70575
Manchester,2003,42.59,-72,7.775666667
Memphis,2003,34.56,-89.51,16.41825
Mesa,2003,32.95,-112.02,22.14558333
Mesquite,2003,32.95,-96.7,18.55375
Metairie,2003,29.74,-90.46,20.62916667
Miami,2003,26.52,-80.6,23.99991667
Milwaukee,2003,42.59,-87.27,10.48158333
Minneapolis,2003,45.81,-93.46,6.036
Miramar,2003,26.52,-80.6,23.99991667
Mobile,2003,31.35,-88.59,18.77566667
Modesto,2003,37.78,-120,13.38183333
Montgomery,2003,32.95,-87.13,17.5575
Moreno Valley,2003,34.56,-116.76,18.19566667
Naperville,2003,40.99,-87.34,10.25675
Nashville,2003,36.17,-87.51,14.562
New Haven,2003,40.99,-72.43,10.3985
New Orleans,2003,29.74,-90.46,20.62916667
New York,2003,40.99,-74.56,9.836
Newark,2003,40.99,-74.56,9.836
Newport News,2003,37.78,-77.29,14.0305
Nogales,2003,31.35,-111.2,18.93216667
Norfolk,2003,36.17,-75.58,16.19891667
Norman,2003,34.56,-97.3,17.09666667
North Las Vegas,2003,36.17,-115.36,18.64958333
Norwalk,2003,34.56,-118.7,16.94466667
Nuevo Laredo,2003,28.13,-99.09,22.09883333
Oakland,2003,37.78,-122.03,15.42508333
Oceanside,2003,32.95,-117.77,17.10016667
Oklahoma City,2003,36.17,-97.46,15.69658333
Olathe,2003,39.38,-95.72,12.69975
Omaha,2003,40.99,-95.86,10.89808333
Ontario,2003,34.56,-116.76,18.19566667
Orange,2003,32.95,-117.77,17.10016667
Orlando,2003,28.13,-80.91,23.05866667
Overland Park,2003,39.38,-93.64,12.55591667
Oxnard,2003,34.56,-118.7,16.94466667
Palmdale,2003,34.56,-118.7,16.94466667
Paradise,2003,36.17,-115.36,18.64958333
Pasadena,2003,29.74,-96,20.685
Pasadena,2003,34.56,-118.7,16.94466667
Paterson,2003,40.99,-74.56,9.836
Pembroke Pines,2003,26.52,-80.6,23.99991667
Peoria,2003,32.95,-112.02,22.14558333
Peoria,2003,40.99,-89.47,10.39941667
Philadelphia,2003,39.38,-74.91,12.07408333
Phoenix,2003,32.95,-112.02,22.14558333
Pittsburgh,2003,40.99,-80.95,9.879916667
Plano,2003,32.95,-96.7,18.55375
Pomona,2003,34.56,-118.7,16.94466667
Port Saint Lucie,2003,26.52,-80.6,23.99991667
Portland,2003,45.81,-123.46,10.99125
Providence,2003,42.59,-72,7.775666667
Provo,2003,39.38,-112.37,10.63733333
Pueblo,2003,37.78,-103.73,12.03883333
Raleigh,2003,36.17,-79.56,14.822
Rancho Cucamonga,2003,34.56,-116.76,18.19566667
Reno,2003,39.38,-120.69,12.48458333
Rialto,2003,34.56,-116.76,18.19566667
Richardson,2003,32.95,-96.7,18.55375
Richmond,2003,37.78,-122.03,15.42508333
Richmond,2003,37.78,-77.29,14.0305
Riverside,2003,34.56,-116.76,18.19566667
Rochester,2003,42.59,-78.55,8.10025
Rockford,2003,42.59,-89.45,8.70575
Roseville,2003,39.38,-120.69,12.48458333
Sacramento,2003,37.78,-122.03,15.42508333
Saint Louis,2003,39.38,-89.48,12.18383333
Saint Paul,2003,45.81,-93.46,6.036
Saint Petersburg,2003,28.13,-82.73,22.54041667
Salem,2003,44.2,-122.98,11.01066667
Salinas,2003,36.17,-121.33,15.65733333
Salt Lake City,2003,40.99,-112.9,11.96716667
San Antonio,2003,29.74,-97.85,20.36833333
San Bernardino,2003,34.56,-116.76,18.19566667
San Diego,2003,32.95,-117.77,17.10016667
San Francisco,2003,37.78,-122.03,15.42508333
San Jose,2003,37.78,-122.03,15.42508333
Santa Ana,2003,32.95,-117.77,17.10016667
Santa Clara,2003,37.78,-122.03,15.42508333
Santa Clarita,2003,34.56,-118.7,16.94466667
Santa Rosa,2003,37.78,-122.03,15.42508333
Savannah,2003,31.35,-81.05,19.89808333
Scottsdale,2003,32.95,-112.02,22.14558333
Seattle,2003,47.42,-121.97,8.74075
Shreveport,2003,32.95,-92.87,18.07425
Simi Valley,2003,34.56,-118.7,16.94466667
Sioux Falls,2003,44.2,-96.15,7.32125
South Bend,2003,40.99,-85.21,9.875
Spokane,2003,47.42,-117.24,9.3065
Spring Valley,2003,36.17,-115.36,18.64958333
Springfield,2003,37.78,-93.56,13.54625
Springfield,2003,39.38,-89.48,12.18383333
Springfield,2003,42.59,-72,7.775666667
Stamford,2003,40.99,-74.56,9.836
Sterling Heights,2003,42.59,-82.91,8.725833333
Stockton,2003,37.78,-122.03,15.42508333
Sunnyvale,2003,37.78,-122.03,15.42508333
Sunrise Manor,2003,36.17,-115.36,18.64958333
Syracuse,2003,42.59,-76.36,7.995166667
Tacoma,2003,47.42,-121.97,8.74075
Tallahassee,2003,29.74,-84.92,20.4865
Tampa,2003,28.13,-82.73,22.54041667
Tempe,2003,32.95,-112.02,22.14558333
Thornton,2003,39.38,-104.05,10.03691667
Thousand Oaks,2003,34.56,-118.7,16.94466667
Toledo,2003,40.99,-83.08,9.760333333
Toms River,2003,39.38,-74.91,12.07408333
Topeka,2003,39.38,-95.72,12.69975
Torrance,2003,34.56,-118.7,16.94466667
Tucson,2003,31.35,-111.2,18.93216667
Tulsa,2003,36.17,-95.47,15.64141667
Vallejo,2003,37.78,-122.03,15.42508333
Vancouver,2003,45.81,-123.46,10.99125
Virginia Beach,2003,36.17,-75.58,16.19891667
Visalia,2003,36.17,-119.34,16.95825
Waco,2003,31.35,-98.01,19.04741667
Warren,2003,42.59,-82.91,8.725833333
Washington,2003,39.38,-76.99,12.07275
Waterbury,2003,40.99,-72.43,10.3985
West Covina,2003,34.56,-118.7,16.94466667
West Jordan,2003,40.99,-112.9,11.96716667
West Valley City,2003,40.99,-112.9,11.96716667
Westminster,2003,39.38,-104.05,10.03691667
Wichita,2003,37.78,-97.63,13.89108333
Wichita Falls,2003,34.56,-99.24,17.16016667
Windsor,2003,42.59,-82.91,8.725833333
Winston Salem,2003,36.17,-79.56,14.822
Worcester,2003,42.59,-72,7.775666667
Yonkers,2003,40.99,-74.56,9.836
