City,Year,Lat,Long,Avg_Temp_Celsius
Jackson,1993,32.95,-90.96,17.60691667
Jacksonville,1993,29.74,-81.23,21.26808333
Jersey City,1993,40.99,-74.56,10.04091667
Joliet,1993,40.99,-87.34,9.948
Kansas City,1993,39.38,-93.64,11.33583333
Killeen,1993,31.35,-98.01,18.25858333
Knoxville,1993,36.17,-83.54,13.25491667
Lafayette,1993,29.74,-92.31,19.95058333
Lakewood,1993,39.38,-104.05,8.183416667
Lancaster,1993,34.56,-118.7,16.36316667
Lansing,1993,42.59,-85.09,8.5035
Laredo,1993,28.13,-99.09,21.79833333
Las Vegas,1993,36.17,-115.36,17.31291667
Lexington Fayette,1993,37.78,-85.42,13.1065
Lincoln,1993,40.99,-95.86,9.28575
Little Rock,1993,34.56,-91.46,16.27266667
Long Beach,1993,32.95,-117.77,16.85625
Los Angeles,1993,34.56,-118.7,16.36316667
Louisville,1993,37.78,-85.42,13.1065
Lowell,1993,42.59,-72,7.835916667
Lubbock,1993,32.95,-102.45,15.6105
Madison,1993,42.59,-89.45,8.046666667
Manchester,1993,42.59,-72,7.835916667
Memphis,1993,34.56,-89.51,16.08783333
Mesa,1993,32.95,-112.02,21.20083333
Mesquite,1993,32.95,-96.7,17.81783333
Metairie,1993,29.74,-90.46,20.21266667
Miami,1993,26.52,-80.6,23.48883333
Milwaukee,1993,42.59,-87.27,10.18375
Minneapolis,1993,45.81,-93.46,4.79725
Miramar,1993,26.52,-80.6,23.48883333
Mobile,1993,31.35,-88.59,18.31375
Modesto,1993,37.78,-120,12.40183333
Montgomery,1993,32.95,-87.13,17.11816667
Moreno Valley,1993,34.56,-116.76,17.16541667
Naperville,1993,40.99,-87.34,9.948
Nashville,1993,36.17,-87.51,14.35725
New Haven,1993,40.99,-72.43,10.56575
New Orleans,1993,29.74,-90.46,20.21266667
New York,1993,40.99,-74.56,10.04091667
Newark,1993,40.99,-74.56,10.04091667
Newport News,1993,37.78,-77.29,14.19658333
Nogales,1993,31.35,-111.2,17.99066667
Norfolk,1993,36.17,-75.58,16.12191667
Norman,1993,34.56,-97.3,16.16841667
North Las Vegas,1993,36.17,-115.36,17.31291667
Norwalk,1993,34.56,-118.7,16.36316667
Nuevo Laredo,1993,28.13,-99.09,21.79833333
Oakland,1993,37.78,-122.03,14.96891667
Oceanside,1993,32.95,-117.77,16.85625
Oklahoma City,1993,36.17,-97.46,14.73466667
Olathe,1993,39.38,-95.72,11.12175
Omaha,1993,40.99,-95.86,9.28575
Ontario,1993,34.56,-116.76,17.16541667
Orange,1993,32.95,-117.77,16.85625
Orlando,1993,28.13,-80.91,22.54825
Overland Park,1993,39.38,-93.64,11.33583333
Oxnard,1993,34.56,-118.7,16.36316667
Palmdale,1993,34.56,-118.7,16.36316667
Paradise,1993,36.17,-115.36,17.31291667
Pasadena,1993,29.74,-96,20.1015
Pasadena,1993,34.56,-118.7,16.36316667
Paterson,1993,40.99,-74.56,10.04091667
Pembroke Pines,1993,26.52,-80.6,23.48883333
Peoria,1993,32.95,-112.02,21.20083333
Peoria,1993,40.99,-89.47,9.854666667
Philadelphia,1993,39.38,-74.91,12.44733333
Phoenix,1993,32.95,-112.02,21.20083333
Pittsburgh,1993,40.99,-80.95,9.996
Plano,1993,32.95,-96.7,17.81783333
Pomona,1993,34.56,-118.7,16.36316667
Port Saint Lucie,1993,26.52,-80.6,23.48883333
Portland,1993,45.81,-123.46,9.9005
Providence,1993,42.59,-72,7.835916667
Provo,1993,39.38,-112.37,8.465083333
Pueblo,1993,37.78,-103.73,10.31516667
Raleigh,1993,36.17,-79.56,14.91691667
Rancho Cucamonga,1993,34.56,-116.76,17.16541667
Reno,1993,39.38,-120.69,11.14475
Rialto,1993,34.56,-116.76,17.16541667
Richardson,1993,32.95,-96.7,17.81783333
Richmond,1993,37.78,-122.03,14.96891667
Richmond,1993,37.78,-77.29,14.19658333
Riverside,1993,34.56,-116.76,17.16541667
Rochester,1993,42.59,-78.55,7.922
Rockford,1993,42.59,-89.45,8.046666667
Roseville,1993,39.38,-120.69,11.14475
Sacramento,1993,37.78,-122.03,14.96891667
Saint Louis,1993,39.38,-89.48,11.65183333
Saint Paul,1993,45.81,-93.46,4.79725
Saint Petersburg,1993,28.13,-82.73,22.15183333
Salem,1993,44.2,-122.98,9.745583333
Salinas,1993,36.17,-121.33,15.02958333
Salt Lake City,1993,40.99,-112.9,9.053416667
San Antonio,1993,29.74,-97.85,19.72325
San Bernardino,1993,34.56,-116.76,17.16541667
San Diego,1993,32.95,-117.77,16.85625
San Francisco,1993,37.78,-122.03,14.96891667
San Jose,1993,37.78,-122.03,14.96891667
Santa Ana,1993,32.95,-117.77,16.85625
Santa Clara,1993,37.78,-122.03,14.96891667
Santa Clarita,1993,34.56,-118.7,16.36316667
Santa Rosa,1993,37.78,-122.03,14.96891667
Savannah,1993,31.35,-81.05,19.68708333
Scottsdale,1993,32.95,-112.02,21.20083333
Seattle,1993,47.42,-121.97,7.682416667
Shreveport,1993,32.95,-92.87,17.37375
Simi Valley,1993,34.56,-118.7,16.36316667
Sioux Falls,1993,44.2,-96.15,5.604666667
South Bend,1993,40.99,-85.21,9.811666667
Spokane,1993,47.42,-117.24,7.23325
Spring Valley,1993,36.17,-115.36,17.31291667
Springfield,1993,37.78,-93.56,12.51516667
Springfield,1993,39.38,-89.48,11.65183333
Springfield,1993,42.59,-72,7.835916667
Stamford,1993,40.99,-74.56,10.04091667
Sterling Heights,1993,42.59,-82.91,8.671666667
Stockton,1993,37.78,-122.03,14.96891667
Sunnyvale,1993,37.78,-122.03,14.96891667
Sunrise Manor,1993,36.17,-115.36,17.31291667
Syracuse,1993,42.59,-76.36,7.7645
Tacoma,1993,47.42,-121.97,7.682416667
Tallahassee,1993,29.74,-84.92,20.06758333
Tampa,1993,28.13,-82.73,22.15183333
Tempe,1993,32.95,-112.02,21.20083333
Thornton,1993,39.38,-104.05,8.183416667
Thousand Oaks,1993,34.56,-118.7,16.36316667
Toledo,1993,40.99,-83.08,9.812
Toms River,1993,39.38,-74.91,12.44733333
Topeka,1993,39.38,-95.72,11.12175
Torrance,1993,34.56,-118.7,16.36316667
Tucson,1993,31.35,-111.2,17.99066667
Tulsa,1993,36.17,-95.47,14.68341667
Vallejo,1993,37.78,-122.03,14.96891667
Vancouver,1993,45.81,-123.46,9.9005
Virginia Beach,1993,36.17,-75.58,16.12191667
Visalia,1993,36.17,-119.34,16.05716667
Waco,1993,31.35,-98.01,18.25858333
Warren,1993,42.59,-82.91,8.671666667
Washington,1993,39.38,-76.99,12.39041667
Waterbury,1993,40.99,-72.43,10.56575
West Covina,1993,34.56,-118.7,16.36316667
West Jordan,1993,40.99,-112.9,9.053416667
West Valley City,1993,40.99,-112.9,9.053416667
Westminster,1993,39.38,-104.05,8.183416667
Wichita,1993,37.78,-97.63,12.55033333
Wichita Falls,1993,34.56,-99.24,16.02933333
Windsor,1993,42.59,-82.91,8.671666667
Winston Salem,1993,36.17,-79.56,14.91691667
Worcester,1993,42.59,-72,7.835916667
Yonkers,1993,40.99,-74.56,10.04091667
